candidate_count,instance_index,instance_seed,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,service_minutes,total_minutes,time_budget,visited_count,feasible,runtime_ms,route
6,0,60042,exact_dynamic_programming,27.5913,27.5913,0.0,57.4,32.0,89.4,90.0,4,True,0.1359,0 -> 4 -> 5 -> 2 -> 6 -> 7
6,0,60042,greedy_reward_per_minute,27.5913,27.5913,0.0,57.4,32.0,89.4,90.0,4,True,0.0295,0 -> 4 -> 5 -> 2 -> 6 -> 7
6,0,60042,nearest,27.5913,27.5913,0.0,57.4,32.0,89.4,90.0,4,True,0.0203,0 -> 4 -> 5 -> 2 -> 6 -> 7
6,1,60043,exact_dynamic_programming,14.2647,14.2647,0.0,51.5734,38.0,89.5734,90.0,4,True,0.1132,0 -> 2 -> 1 -> 5 -> 3 -> 7
6,1,60043,greedy_reward_per_minute,9.9268,14.2647,30.41,44.6661,18.0,62.6661,90.0,2,True,0.0147,0 -> 3 -> 5 -> 7
6,1,60043,nearest,14.2647,14.2647,0.0,51.5734,38.0,89.5734,90.0,4,True,0.0152,0 -> 2 -> 1 -> 5 -> 3 -> 7
6,2,60044,exact_dynamic_programming,19.9723,19.9723,0.0,49.4123,40.0,89.4123,90.0,3,True,0.1166,0 -> 2 -> 1 -> 6 -> 7
6,2,60044,greedy_reward_per_minute,11.9139,19.9723,40.3479,46.7309,30.0,76.7309,90.0,2,True,0.0137,0 -> 6 -> 5 -> 7
6,2,60044,nearest,17.9412,19.9723,10.1696,43.188,42.0,85.188,90.0,4,True,0.0124,0 -> 2 -> 3 -> 1 -> 5 -> 7
6,3,60045,exact_dynamic_programming,17.1421,17.1421,0.0,48.4158,26.0,74.4158,90.0,3,True,0.106,0 -> 6 -> 3 -> 2 -> 7
6,3,60045,greedy_reward_per_minute,17.1421,17.1421,0.0,55.6581,26.0,81.6581,90.0,3,True,0.0157,0 -> 6 -> 2 -> 3 -> 7
6,3,60045,nearest,14.6451,17.1421,14.5665,46.9097,33.0,79.9097,90.0,3,True,0.0105,0 -> 5 -> 6 -> 3 -> 7
6,4,60046,exact_dynamic_programming,16.4049,16.4049,0.0,50.3263,39.0,89.3263,90.0,3,True,0.1191,0 -> 2 -> 5 -> 6 -> 7
6,4,60046,greedy_reward_per_minute,14.0438,16.4049,14.3927,44.3212,36.0,80.3212,90.0,3,True,0.0158,0 -> 2 -> 6 -> 3 -> 7
6,4,60046,nearest,14.8804,16.4049,9.293,44.7815,34.0,78.7815,90.0,3,True,0.0106,0 -> 2 -> 1 -> 4 -> 7
6,5,60047,exact_dynamic_programming,21.037,21.037,0.0,42.166,41.0,83.166,90.0,4,True,0.1477,0 -> 5 -> 3 -> 6 -> 1 -> 7
6,5,60047,greedy_reward_per_minute,21.037,21.037,0.0,47.7372,41.0,88.7372,90.0,4,True,0.0183,0 -> 3 -> 5 -> 6 -> 1 -> 7
6,5,60047,nearest,8.8095,21.037,58.1238,40.8943,38.0,78.8943,90.0,3,True,0.011,0 -> 4 -> 2 -> 1 -> 7
6,6,60048,exact_dynamic_programming,24.6781,24.6781,0.0,49.5438,34.0,83.5438,90.0,4,True,0.1319,0 -> 6 -> 2 -> 1 -> 3 -> 7
6,6,60048,greedy_reward_per_minute,16.6143,24.6781,32.6759,60.5577,28.0,88.5577,90.0,3,True,0.0158,0 -> 1 -> 3 -> 4 -> 7
6,6,60048,nearest,18.8377,24.6781,23.6663,45.9922,36.0,81.9922,90.0,4,True,0.0122,0 -> 6 -> 5 -> 2 -> 4 -> 7
6,7,60049,exact_dynamic_programming,16.5043,16.5043,0.0,44.8722,38.0,82.8722,90.0,3,True,0.1273,0 -> 1 -> 2 -> 3 -> 7
6,7,60049,greedy_reward_per_minute,14.9628,16.5043,9.34,44.6009,33.0,77.6009,90.0,3,True,0.0172,0 -> 2 -> 4 -> 3 -> 7
