scenario_index,start,destination,preference,time_budget,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,study_minutes,total_minutes,visited_count,feasible,study_plan,deadline_slack_minutes,direct_travel_minutes,walking_detour_minutes,walking_detour_percent,runtime_ms,runtime_mean_ms,runtime_p95_ms,runtime_std_ms,timing_repeats,order_seed,route
1,Rodin College House,Towne Building,Quiet,45.0,exact_dynamic_programming,11.0,11.0,0.0,12.2923,25.0,37.2923,1,True,True,7.7077,11.5978,0.6945,5.9882,0.0722,0.0727,0.0761,0.0014,10,2026,Rodin College House -> Van Pelt Library -> Towne Building
1,Rodin College House,Towne Building,Quiet,45.0,greedy_reward_per_minute,11.0,11.0,0.0,12.2923,25.0,37.2923,1,True,True,7.7077,11.5978,0.6945,5.9882,0.0092,0.0091,0.0095,0.0003,10,2026,Rodin College House -> Van Pelt Library -> Towne Building
1,Rodin College House,Towne Building,Quiet,45.0,nearest,4.8,11.0,56.3636,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0074,0.0078,0.0106,0.0011,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
2,Rodin College House,Towne Building,Quiet,60.0,exact_dynamic_programming,18.0,18.0,0.0,14.4663,45.0,59.4663,2,True,True,0.5337,11.5978,2.8685,24.7331,0.0803,0.0804,0.0813,0.0004,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Towne Building
2,Rodin College House,Towne Building,Quiet,60.0,greedy_reward_per_minute,18.0,18.0,0.0,14.4663,45.0,59.4663,2,True,True,0.5337,11.5978,2.8685,24.7331,0.0102,0.0102,0.0105,0.0002,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Towne Building
2,Rodin College House,Towne Building,Quiet,60.0,nearest,15.8,18.0,12.2222,13.4157,45.0,58.4157,2,True,True,1.5843,11.5978,1.8179,15.6745,0.0085,0.0087,0.0095,0.0004,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Towne Building
3,Rodin College House,Towne Building,Quiet,90.0,exact_dynamic_programming,28.8,28.8,0.0,15.7732,70.0,85.7732,3,True,True,4.2268,11.5978,4.1754,36.0017,0.1308,0.1317,0.1396,0.0028,10,2026,Rodin College House -> Van Pelt Library -> Fisher Fine Arts Library -> Levine Hall -> Towne Building
3,Rodin College House,Towne Building,Quiet,90.0,greedy_reward_per_minute,28.8,28.8,0.0,15.7732,70.0,85.7732,3,True,True,4.2268,11.5978,4.1754,36.0017,0.014,0.014,0.0144,0.0002,10,2026,Rodin College House -> Van Pelt Library -> Fisher Fine Arts Library -> Levine Hall -> Towne Building
3,Rodin College House,Towne Building,Quiet,90.0,nearest,26.6,28.8,7.6389,14.456,70.0,84.456,3,True,True,5.544,11.5978,2.8582,24.6443,0.0103,0.0102,0.0107,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Towne Building
4,Rodin College House,Towne Building,Collaborative,45.0,exact_dynamic_programming,10.8,10.8,0.0,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0717,0.0717,0.0722,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
4,Rodin College House,Towne Building,Collaborative,45.0,greedy_reward_per_minute,10.8,10.8,0.0,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0086,0.0085,0.0088,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
4,Rodin College House,Towne Building,Collaborative,45.0,nearest,10.8,10.8,0.0,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0066,0.0066,0.0068,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
5,Rodin College House,Towne Building,Collaborative,60.0,exact_dynamic_programming,21.4,21.4,0.0,15.6532,40.0,55.6532,2,True,True,4.3468,11.5978,4.0554,34.967,0.0879,0.0874,0.0944,0.0061,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Towne Building
5,Rodin College House,Towne Building,Collaborative,60.0,greedy_reward_per_minute,21.4,21.4,0.0,15.6532,40.0,55.6532,2,True,True,4.3468,11.5978,4.0554,34.967,0.0114,0.0115,0.0119,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Towne Building
5,Rodin College House,Towne Building,Collaborative,60.0,nearest,17.8,21.4,16.8224,13.4157,45.0,58.4157,2,True,True,1.5843,11.5978,1.8179,15.6745,0.0087,0.0087,0.0092,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Towne Building
6,Rodin College House,Towne Building,Collaborative,90.0,exact_dynamic_programming,30.4,30.4,0.0,18.0938,60.0,78.0938,3,True,True,11.9062,11.5978,6.496,56.0106,0.1295,0.1303,0.1352,0.002,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Towne Building
6,Rodin College House,Towne Building,Collaborative,90.0,greedy_reward_per_minute,30.4,30.4,0.0,18.0938,60.0,78.0938,3,True,True,11.9062,11.5978,6.496,56.0106,0.0143,0.0145,0.0153,0.0004,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Towne Building
6,Rodin College House,Towne Building,Collaborative,90.0,nearest,22.6,30.4,25.6579,14.456,70.0,84.456,3,True,True,5.544,11.5978,2.8582,24.6443,0.01,0.01,0.0104,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Towne Building
7,Rodin College House,Towne Building,Coffee nearby,45.0,exact_dynamic_programming,10.6,10.6,0.0,13.4487,20.0,33.4487,1,True,True,11.5513,11.5978,1.8509,15.9591,0.0713,0.0719,0.078,0.0022,10,2026,Rodin College House -> Houston Hall -> Towne Building
7,Rodin College House,Towne Building,Coffee nearby,45.0,greedy_reward_per_minute,10.6,10.6,0.0,13.4487,20.0,33.4487,1,True,True,11.5513,11.5978,1.8509,15.9591,0.0084,0.0085,0.0089,0.0002,10,2026,Rodin College House -> Houston Hall -> Towne Building
7,Rodin College House,Towne Building,Coffee nearby,45.0,nearest,8.8,10.6,16.9811,13.4111,20.0,33.4111,1,True,True,11.5889,11.5978,1.8133,15.6349,0.0065,0.0066,0.0069,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Towne Building
8,Rodin College House,Towne Building,Coffee nearby,60.0,exact_dynamic_programming,19.4,19.4,0.0,15.6532,40.0,55.6532,2,True,True,4.3468,11.5978,4.0554,34.967,0.08,0.0809,0.0886,0.0028,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Towne Building
